word,count
가도,571
찾았어요,571
같군요,571
싶으면,571
돌아올,571
대,570
되는데,570
그랬어요,570
곳에서,570
이러지,569
어째서,569
스티븐스,569
그들,568
알아야,567
아빠를,567
고맙네,567
박사,567
자리를,566
반가워요,565
좋아해요,565
계획을,564
그렇습니다,564
모든게,564
필요할,564
아무리,563
더는,563
오직,563
어려운,562
반드시,562
따르면,562
엄마랑,562
모르고,561
좋네요,560
하니까,560
사진을,560
법을,559
안으로,559
빼고,559
같다,559
보낸,558
못하게,558
싶었어,558
엄마한테,557
오세요,556
한잔,556
수술에,556
그러죠,556
착한,555
있었고,555
내내,554
그걸로,554
하잖아,553
적은,552
이해,552
약을,552
보기,551
신이,551
선생님은,550
곁에,550
물론이지,550
에,549
인간,549
몰랐어,548
관심,548
같아서,548
높은,547
좋겠어요,546
머리가,546
봤는데,545
못하는,545
리,545
를,544
세상이,544
머리에,544
데려다,544
아가,544
쓰지,543
여기까지,543
믿고,543
배를,542
움직이지,542
그러다,542
생각에,542
않아도,542
처음으로,541
힘이,541
말했어,541
되요,540
집이,540
따라와,539
죽지,539
냄새가,539
그렇고,539
뭐라,538
뒤,538
거니까,537
모르겠다,537
죽였어,536
돌아갈,535
죽여,535
자네를,535
말했잖아,534
役,533
아이는,533
제임스,533
로스,532
심각한,532
기다려요,532
이쪽은,532
얘가,532
좋다,531
말해줘,531
한번도,530
긴,529
거긴,529
그러는,529
마크,529
사고,529
자리에,528
데이트,528
세상,528
느낌이,528
이래,527
구할,527
그동안,526
식으로,526
있었습니다,526
저랑,526
녀석,526
다섯,526
사람들에게,526
일이지,525
곳,525
이제는,525
그녀에게,525
배,524
크리스마스,523
그녀,523
옛날,523
쉐퍼드,523
없네요,523
아이들을,523
좋습니다,522
언젠가,522
신의,522
죽고,521
너희가,521
전엔,521
지금도,521
세계,520
도와주세요,520
결정을,520
중이에요,520
요,519
확인해,518
없소,517
실제로,517
돌아가,516
모두에게,516
봐야,516
고맙다,516
비행기,515
가자고,515
캠,515
그러게,515
대화를,515
둬,514
상태가,514
있거든요,514
저렇게,514
의,513
이만,512
감사해요,512
책,512
몸,512
오래된,511
가능성이,511
모를,510
있는게,510
가질,510
아닌가,509
분은,509
입을,509
그것이,509
출혈이,508
남편,508
덜,508
아나,508
상관없어,508
것들을,508
치프,507
기억해,507
확인,506
들은,506
처음부터,505
얘기하고,505
수정,504
싶어서,503
행운을,503
안전한,503
해주세요,503
우리와,503
배가,502
자네의,501
가끔은,499
명이,499
않지만,498
아기가,498
벤,497
실수를,497
어서요,497
한거야,497
곳은,496
젊은,496
불쌍한,496
며칠,496
중입니다,495
애들은,495
뜻이야,495
오늘밤,494
날이,494
들을,494
놓고,494
뭐든지,494
좋네,493
생각했어,493
달라고,493
확실해,493
애는,492
차가,492
사랑에,492
줄은,492
가져,491
뭐라도,491
준비해,491
몰랐어요,490
병원에서,490
있어도,489
갖다,489
아직은,489
있는데요,489
이걸로,489
최악의,489
시간에,489
평범한,488
근처에,488
모르죠,488
미스터,488
다리,487
닉,487
있기,487
책을,486
위로,486
갔어요,485
지도,485
할아버지,485
있겠죠,485
기억나,485
죽이지,484
우선,484
검사,484
몰래,483
보자고,483
봐라,483
죽으면,483
차라리,482
아닐,481
자네도,481
아내를,481
얘긴,481
당연하죠,480
만,480
미리,479
루크,479
안녕히,479
것만,479
보낼,479
혼자서,479
생일,479
맞다,478
얼굴이,478
싶은데,478
불,477
죄송하지만,477
거란,477
올게,477
뭐하는거야,477
자막,477
어떡해,477
마약,477
바랍니다,476
많아요,476
먹는,476
마시고,474
믿어요,473
거라면,473
없다면,472
당신들이,472
결코,472
가만,472
들어갈,472
하나는,472
생명을,470
하실,469
무기를,469
하면서,469
않는다면,468
어머,468
동생,468
실은,468
좋아하지,468
진심으로,468
강한,468
간에,468
나머지,467
만나,467
않죠,467
아니었어요,467
그와,466
돌아와,466
있단,466
있었는지,465
애들을,465
내버려,464
봐도,464
것과,464
돌아,463
원한다면,463
얘기할,463
갔다,463
누군가를,462
않나,462
없으니까,462
돈은,462
녀석이,462
좋은데,462
받는,462
뭔가가,462
그들에게,462
자넬,461
끝까지,461
의해,460
질문,460
숨,460
아니라면,460
카메라,460
저들이,460
톰,460
아무튼,459
따로,459
살인,459
생각도,459
발사,459
돼서,458
적도,457
그리곤,456
싸울,456
번도,456
행복한,456
정신이,456
되잖아,456
알다시피,455
마침내,455
파티,455
받지,455
있을지,454
뭐라구요,454
꿈,454
아는데,454
있다고요,454
위치를,453
정말이야,453
즉시,453
죽이는,452
없나요,451
수술은,451
헨리,451
싶었어요,450
인간의,450
않지,450
어디야,450
주면,449
명령을,449
메리,449
상처를,449
원치,448
시작,447
못했어,447
입은,447
다리를,447
쪽으로,446
그런거,446
거대한,446
첫번째,445
관심이,445
할수,444
걸까,444
무서워,443
똑같이,443
하는게,443
검은,443
둘다,443
말로는,443
걱정하지,442
찾은,442
뭔데요,442
있고요,441
루시어스,440
정도는,440
목을,440
왔는데,440
발,440
카레브,440
생각할,439
바라는,439
것으로,439
에이미,439
이해할,438
받았어,437
들어가서,436
질문을,436
친구야,436
말인지,436
아파,436
한데,435
됐죠,435
고양이,435
나올,435
어머니가,434
있군,434
도와,434
않았다,434
빠져,434
제길,434
씨가,434
일어날,434
물건을,433
모르겠네,433
기다리는,433
쉬운,433
되겠지,433
환영합니다,433
믿는,433
전쟁을,433
사건을,432
버려,432
가치가,432
반,432
누구죠,432
어렸을,432
그만해요,432
말했어요,432
말하자면,432
말해야,432
괜찮지,431
아무래도,431
찾아서,430
아이들이,430
알잖아요,430
사람에게,430
가봐,429
아무런,429
밑에,429
하루종일,429
물을,428
뭐에요,428
형사님,428
되나요,428
친구는,428
옳은,428
다야,427
준비됐어,427
거냐,427
얼굴에,426
친구들이,426
환자의,426
말인데,426
세상은,425
그땐,425
리처드,425
서로를,425
잡을,425
있단다,425
일하고,425
쏴,425
이해해,425
너희들이,425
형이,425
부터,424
당신들은,424
바람,423
보죠,423
혹은,423
게임,423
임마,423
피,422
내놔,422
찾으러,422
미쳤어,422
요원,422
미래를,422
능력을,421
끝난,421
싶다면,420
하던,420
걔는,420
삼촌,420
쪽,419
알면,419
거잖아요,419
아픈,419
전까지,418
몸에,418
놈들,417
되게,417
일부러,417
만나고,417
그렇겠지,416
드릴게요,415
나만,415
전에도,415
보내고,415
쟤가,415
하려는,415
폐하,415
이러는,415
아버지의,414
길이,414
약속을,414
사람들의,414
어젯밤에,414
팔,413
다음은,413
아래,413
똑바로,413
아내,413
종일,413
죽음을,413
말이오,412
왼쪽,412
둘은,412
쉽지,412
사람이에요,412
선물,412
무슨일이,412
생각했어요,411
해줘요,411
무서운,411
효과가,411
예전에,411
대니,410
개를,410
학교에,410
얻을,410
않네,409
가까운,409
손이,409
오후,408
못하고,408
영향을,407
때부터,407
나보다,407
이길,407
하나를,407
마이클,407
것들이,407
돌려,406
명의,406
꽤나,406
재밌는,406
즐거운,406
시작해,406
윌,405
노래를,405
생겼어,404
회사,404
전하,404
필요로,403
전해,402
일인지,402
떨어진,402
쉿,402
엎드려,401
올려,401
걸어,401
이것은,401
보라고,401
무지,400
누구지,400
좋겠다,400
잠을,400
물러서,400
채,399
더러운,399
릴리,399
건배,399
이것도,399
물이,399
뭐해,398
것들,398
없나,398
최소한,398
전에는,398
잘하고,397
좋게,397
리가,396
엄마도,396
제이크,396
점심,396
끝났어요,396
파티에,396
을,396
그랬죠,396
아빠한테,395
놈의,395
사람과,395
저의,395
오랜,395
나쁘지,394
아니니까,394
바꿀,394
끝나면,394
나가요,394
축하해,394
놈들은,394
미안한데,393
된다면,393
사실이,393
하러,393
개가,393
버리고,393
불을,392
하나의,392
하니,392
문이,392
미안하다,392
해라,392
숨어,392
얘는,392
조니,392
수많은,391
여기선,391
왔지,391
맞았어,391
감히,391
밤새,391
제기랄,390
관해,390
검사를,390
차에서,390
술을,389
진짜야,389
레이,388
최근에,388
아닌가요,388
워,388
저흰,388
어젯밤,387
뿐이지,387
안전하게,387
안되는,386
있었다고,386
다음엔,386
어떻게든,386
의미가,386
처음엔,386
느낄,386
나요,386
괜찮으세요,386
방에서,385
말로,385
남았어,385
될지,384
자리,384
만나러,384
가방,384
최고,384
유명한,384
받았어요,384
끌고,384
볼까,384
지금부터,383
오른쪽,383
언니가,383
소식을,383
말하길,383
맨날,383
생각했는데,383
동시에,383
모릅니다,382
안나,382
자격이,381
사람한테,381
진심이야,381
인생,381
저에게,381
비밀을,381
전쟁,381
냄새,381
죄를,380
귀여운,379
함장님,379
않나요,379
걸릴,378
결과를,378
데려가,377
전까진,377
가라,377
글로리아,377
좋죠,377
먼,377
원,376
이상해,376
가기,376
도시,376
오신,376
조심해요,375
친한,375
거래를,375
개인,375
갑니다,374
걸세,374
싶을,374
